transaction_id,direction,amount,currency,description,transaction_date,post_date,account_id,status,class,subclass_code,subclass_title,reference,institution_id,connection_id,balance_amount,balance_currency
7ee6a1c2-22f1-400e-b21a-8874f2b67408,credit,1900.00,AUD,PAY/SALARY FROM COLES SUPERMARKE COL 00753939,2025-01-23T13:05:54Z,2025-01-24T13:05:54Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,transfer,0,Unknown,H123813,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
73effbe0-368b-45a5-bf04-85872bdde1a1,debit,-139.44,AUD,COLES EXPRESS 6942 TOM PRICE AU Card xx2328,2025-01-24T11:38:07Z,2025-01-24T11:38:07Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,400,Fuel Retailing,,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
c1d9b5be-9bc8-4c95-95a4-faae99081cb5,debit,-97.64,AUD,KMART 1226 CLAYTON AU AUS  Card xx3856,2025-01-17T04:38:32Z,2025-01-19T04:38:32Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,426,Department Stores,H255200,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
57a4228c-2ac1-4ffb-a31e-eb3724df7500,debit,-50.14,AUD,KMART 1226 CLAYTON AU AUS  Card xx2328,2025-01-18T11:25:26Z,2025-01-18T11:25:26Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,426,Department Stores,,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
016ac12e-c8be-4211-9545-a3ab4af9bc9a,debit,-6.07,AUD,SUPERIOR FOOD GROUP PT MULGRAVE VIC Card xx2328,2025-01-17T01:51:36Z,2025-01-18T01:51:36Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,360,"Grocery, Liquor and Tobacco Product Wholesaling",,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
5845c64c-448c-46eb-8954-c4e0acdc6998,debit,-63.31,AUD,HARRIS SCARFE Chatswood Card xx2328,2025-01-16T09:02:47Z,2025-01-17T09:02:47Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,426,Department Stores,,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
f53a0ba8-b0fa-46c8-9f24-16154c4bf9ef,debit,-400.32,AUD,WOOLWORTHS 3298 Chatswood AUS Card xx3856,2025-01-14T19:51:54Z,2025-01-15T19:51:54Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,411,Supermarket and Grocery Stores,H766103,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
bb0596c3-5ab2-40bc-91de-9ca4deeee7d0,debit,-1000.00,AUD,PAYMENT BY AUTHORITY TO TOYOTA FINANCE 11111111,2025-01-13T14:36:56Z,2025-01-14T14:36:56Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,623,Non-Depository Financing,,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
81cd3e1b-ed03-40de-89db-f8817f4d0efc,debit,-56.74,AUD,WOOLWORTHS 3298 Chatswood AUS Card xx2328,2025-01-10T19:01:40Z,2025-01-13T19:01:40Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,411,Supermarket and Grocery Stores,H536687,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
392e0d43-55a9-4012-b29e-01b1b7e7275d,debit,-11.86,AUD,WW METRO/11-29 KOKARIBB R Chatswood AU  Card xx3856,2025-01-12T03:51:53Z,2025-01-13T03:51:53Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,411,Supermarket and Grocery Stores,,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
db6c39a6-c717-4e6d-b042-a81ea9effc3c,credit,1900.00,AUD,PAY/SALARY FROM COLES SUPERMARKE COL 00753938,2025-01-09T20:20:45Z,2025-01-11T20:20:45Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,transfer,0,Unknown,65d237c1-41aa-4fb8-a3d6-69a6e53cd8be,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
a3b68b08-98bc-48b5-944f-0af20ce25731,debit,-141.03,AUD,LONG FINE HOSPITALITY BROADMEADOWS Card xx3856,2025-01-09T16:04:54Z,2025-01-09T16:04:54Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,840,Hospitals,,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
79c3232b-fafd-430e-a11b-f8ad16188f9b,debit,-20.47,AUD,MCDONALDS AIRSIDE MASC Card xx2328,2025-01-07T22:48:15Z,2025-01-07T22:48:15Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,451,"Cafes, Restaurants and Takeaway Food Services",,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
90162ab4-d012-4d58-ba34-80f178fbf9e9,debit,-191.85,AUD,WW METRO/11-29 KOKARIBB R Chatswood AU  Card xx3856,2025-01-04T09:15:52Z,2025-01-07T09:15:52Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,411,Supermarket and Grocery Stores,,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
f7bae1a2-538e-4240-82fa-49e225d7fd01,debit,-21.92,AUD,COLES 0507 GLEN IRIS AU  Card xx3856,2025-01-05T11:41:11Z,2025-01-06T11:41:11Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,411,Supermarket and Grocery Stores,H293430,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
a1d38c1b-913c-4ba1-86f0-c548cd3814fb,debit,-6.95,AUD,MEXI DONNA FUSION Craigieburn AU AUS  Card xx2328,2025-01-04T03:11:18Z,2025-01-05T03:11:18Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,451,"Cafes, Restaurants and Takeaway Food Services",,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
c05b7b24-f6b4-4a2e-93b2-8aa2b2d85fee,debit,-20.68,AUD,UBER* EATS SYDNEY NS AUS  Card xx3856,2025-01-02T19:33:03Z,2025-01-04T19:33:03Z,150a5086-a8cb-4eb8-8148-3f9dc3da25dd,posted,payment,451,"Cafes, Restaurants and Takeaway Food Services",H680674,AU00000,b2a23fda-0206-457a-9d7b-bccedeeb7097,,
